Project, Loss, Chain, Vulnerability, date, transactions
MEV Bot 0xa24734,                150000.000000,                [1],                Access Control Issue,                1699758983000,                [{'txnHash': '0xdfbfb0387129541c65934e71deee404ea70de6629258ae49d9f24bcf6e866ea6', 'txnHashDate': 1699758983000, 'chainId': 1}, {'txnHash': '0xb56e984a866afed36ccf28c2a659845f5529d7de3f609d67c16c20e337c106fc', 'txnHashDate': 1699758803000, 'chainId': 1}, {'txnHash': '0x573199feba92ab6577847f2baa634ec84845d96474af31ca81a6b82ab3a4178f', 'txnHashDate': 1699756307000, 'chainId': 1}, {'txnHash': '0x53eeab4447db331dbb47f93fd58a95d6faa230d559acde0687f8b5f5829e7a45', 'txnHashDate': 1699756235000, 'chainId': 1}]
Raft,                3200000.000000,                [1],                Precision Loss,                1699642763000,                [{'txnHash': '0xfeedbf51b4e2338e38171f6e19501327294ab1907ab44cfd2d7e7336c975ace7', 'txnHashDate': 1699642763000, 'chainId': 1}]
MEV Bot 0x05f016,                2000000.000000,                [1],                Access Control Issue,                1699399463000,                [{'txnHash': '0xbc08860cd0a08289c41033bdc84b2bb2b0c54a51ceae59620ed9904384287a38', 'txnHashDate': 1699399463000, 'chainId': 1}]
TheStandard.io,                290000.000000,                [42161],                Lack of Slippage Protection,                1699306292000,                [{'txnHash': '0x51293c1155a1d33d8fc9389721362044c3a67e0ac732b3a6ec7661d47b03df9f', 'txnHashDate': 1699306292000, 'chainId': 42161}]
OnyxProtocol,                2000000.000000,                [1],                Precision Loss,                1698832727000,                [{'txnHash': '0xf7c21600452939a81b599017ee24ee0dfd92aaaccd0a55d02819a7658a6ef635', 'txnHashDate': 1698832727000, 'chainId': 1}]
Astrid Finance,                300000.000000,                [1],                Business Logic Flaw,                1698489695000,                [{'txnHash': '0x8af9b5fb3e2e3df8659ffb2e0f0c1f4c90d5a80f4f6fccef143b823ce673fb60', 'txnHashDate': 1698489695000, 'chainId': 1}]
Maestro,                668000.000000,                [1],                Arbitrary Calls,                1698188027000,                [{'txnHash': '0xc087fbd68b9349b71838982e789e204454bfd00eebf9c8e101574376eb990d92', 'txnHashDate': 1698188027000, 'chainId': 1}]
WiseLending.com,                260000.000000,                [1],                Precision Loss,                1697207963000,                [{'txnHash': '0x7ac4a98599596adbf12fffa2bd23e2a2d2ac7e8989b6ea043fcc412a29126555', 'txnHashDate': 1697207963000, 'chainId': 1}]
Platypus,                2000000.000000,                [43114],                Business Logic Flaw,                1697081389000,                [{'txnHash': '0xab5f6242fb073af1bb3cd6e891bc93d247e748a69e599a3744ff070447acb20f', 'txnHashDate': 1697081389000, 'chainId': 43114}]
BH Token,                1270000.000000,                [56],                Business Logic Flaw,                1697033673000,                [{'txnHash': '0xc11e4020c0830bcf84bfa197696d7bfad9ff503166337cb92ea3fade04007662', 'txnHashDate': 1697033673000, 'chainId': 56}]
