Project, Loss, Vulnerability, Transactions, Date, Time, Chain
Curve,60000000,                Reentrancy,0x006763dff653ecddfd3681181a29e7e6d6c2aaa7bafb27fe1376f3f7ce367c1e,0.237303241, 01:47,1
 , ,,0xe928d5de53bea42231d0dd140a3f761adb93081038a368591eb1166168297bdc,0.112303241, 13:54,1
 , ,,0xcd99fadd7e28a42a063e07d9d86f67c88e10a7afe5921bd28cd1124924ae2052,30:07:2023 , 22:00,1
 , ,,0x2e7dc8b2fb7e25fd00ed9565dcc0ad4546363171d5e00f196d48103983ae477c,30:07:2023 , 19:08,1
 , ,,0xb676d789bb8b66a08105c844a49c2bcffb400e5c1cfabd4bc30cca4bff3c9801,30:07:2023 , 15:34,1
 , ,,0xc93eb238ff42632525e990119d3edc7775299a70b56e54d83ec4f53736400964,30:07:2023 , 14:50,1
 , ,,0xa84aa065ce61dbb1eb50ab6ae67fc31a9da50dd2c74eefd561661bfce2f1620c,30:07:2023 , 13:10,1
Carson Token,150000,                Flawed Price Dependency,0xcd781fec34b46f8c7372a9fcc7604c210b40442dc4f1a5c274fc3f9283df39ce,26:07:2023 , 17:41,56
 , ,,0xed52a42b2f45e4dea8d07f70d645931e4f6da65e9ab281cd3dbb9d9d21febb45,26:07:2023 , 17:39,56
 , ,,0x6a94a644856c3aa1db8249b700956379b6b3a18de9b8811566fbd56c89240a01,26:07:2023 , 17:37,56
 , ,,0x37d921a6bb0ecdd8f1ec918d795f9c354727a3ff6b0dba98a512fceb9662a3ac,26:07:2023 , 17:35,56
Palmswap,900000,                Flawed Price Dependency,0x62dba55054fa628845fecded658ff5b1ec1c5823f1a5e0118601aa455a30eac9,24:07:2023 , 17:23,56
Conic Finance,3250000,                Flawed Price Dependency,0x8b74995d1d61d3d7547575649136b8765acb22882960f0636941c44ec7bbe146,0.903275463, 10:35,1
FFIST Token,110000,                Business Logic Flaw,0x199c4b88cab6b4b495b9d91af98e746811dd8f82f43117c48205e6332db9f0e0,0.861608796, 00:07,56
Rodeo Finance,888000,                Flawed Price Dependency,0xb1be5dee3852c818af742f5dd44def285b497ffc5c2eda0d893af542a09fb25a,0.486608796, 07:45,42161
Libertify,452000,                Reentrancy,0xcb0ad9da33ecabf75df0a24aabf8a4517e4a7c5b1b2f11fee3b6a1ad9299a282,0.486608796, 07:49,1
 , ,,0x7320accea0ef1d7abca8100c82223533b624c82d3e8d445954731495d4388483,0.486608796, 07:32,137
